1 3 0.63142 5
1 22 0.71937 4
1 40 0.86253 9
2 6 0.71045 9
2 31 0.9981 4
2 34 0.8211 4
2 36 0.85218 3
3 14 0.55628 7
3 19 0.6719 5
3 26 0.83633 5
3 39 0.96223 5
3 51 0.88287 11
3 60 0.50145 12
4 6 0.86663 8
4 29 0.68439 3
5 41 0.57036 4
5 52 0.83953 4
6 7 0.85861 11
6 10 0.59015 10
6 12 0.80426 8
6 16 0.74677 8
6 31 0.7745 9
6 36 0.85191 8
6 40 0.67059 15
6 48 0.69335 10
6 50 0.74528 14
6 52 0.88562 10
6 58 0.95776 10
6 60 0.89099 16
7 20 0.52192 8
7 23 0.56225 6
7 26 0.51887 6
7 27 0.97307 6
7 35 0.85301 7
7 40 0.9559 12
7 54 0.96578 6
7 59 0.76511 14
8 15 0.90219 6
8 40 0.67811 10
8 42 0.90747 10
8 57 0.51555 7
9 15 0.64462 5
9 16 0.7042 2
10 11 0.63588 6
10 47 0.55967 5
10 49 0.73587 7
10 50 0.6642 11
10 53 0.90689 8
10 60 0.93238 12
11 40 0.65766 10
11 44 0.66496 5
11 46 0.71282 8
11 55 0.56089 6
12 13 0.94872 3
13 14 0.80978 6
13 30 0.98594 4
13 55 0.99119 6
13 59 0.50703 12
14 15 0.57089 8
14 20 0.98058 7
14 40 0.70945 12
14 45 0.63943 9
14 55 0.5557 7
14 60 0.85159 13
15 18 0.73874 6
15 39 0.55009 6
15 40 0.58437 12
15 42 0.51723 13
15 51 0.71119 12
15 59 0.59765 14
16 50 0.74368 9
17 33 0.75134 4
17 40 0.67175 11
17 43 0.65922 5
17 45 0.66348 8
17 47 0.81664 5
17 50 0.71145 10
18 59 0.51122 11
18 60 0.52365 10
19 40 0.75578 10
19 51 0.84918 9
19 59 0.9683 11
20 24 0.87887 5
20 33 0.66951 4
20 44 0.74801 6
20 50 0.66573 11
20 55 0.71434 7
21 32 0.83806 2
21 45 0.53419 6
22 40 0.59095 11
22 45 0.62457 8
22 49 0.75572 6
22 51 0.85361 10
22 52 0.94421 6
23 31 0.81072 4
23 40 0.52368 9
24 26 0.96247 3
24 41 0.58647 5
25 48 0.63002 4
25 60 0.51825 10
26 50 0.52108 9
27 34 0.65962 4
27 51 0.78178 9
28 58 0.91532 4
28 60 0.53983 10
29 35 0.99123 5
29 37 0.81382 3
29 50 0.90444 10
29 53 0.61991 7
30 48 0.74284 4
30 59 0.92844 11
31 56 0.80054 5
31 57 0.64956 7
32 45 0.883 6
32 56 0.5236 4
34 39 0.84092 4
34 41 0.88267 6
34 50 0.59155 10
35 40 0.80979 10
35 41 0.67174 6
35 51 0.52108 10
37 40 0.67631 9
38 40 0.62591 9
38 50 0.6401 8
40 48 0.77623 11
40 60 0.68926 17
41 51 0.6187 11
41 55 0.97777 7
41 78 0.66674 5
42 44 0.73266 11
42 46 0.56965 14
42 47 0.91784 10
42 62 0.65909 11
42 63 0.96502 10
42 65 0.89167 18
42 66 0.81405 10
42 70 0.83876 9
42 74 0.61271 12
42 78 0.85687 10
42 79 0.65115 9
42 86 0.68731 10
42 87 0.64741 9
42 90 0.57985 9
42 93 0.56651 13
43 45 0.57823 7
43 46 0.90548 8
43 59 0.6212 12
43 91 0.92402 4
44 65 0.66096 12
44 94 0.97478 3
45 46 0.71037 11
45 57 0.70994 10
45 59 0.52125 14
45 67 0.8184 8
46 48 0.7649 9
46 51 0.62333 13
46 65 0.8297 15
46 75 0.92929 7
46 83 0.59339 7
46 86 0.59499 7
46 92 0.76124 8
46 99 0.73501 7
47 65 0.78271 11
48 65 0.58343 12
49 62 0.76811 6
49 69 0.836 5
49 73 0.92281 5
49 91 0.55783 5
49 97 0.64902 4
50 51 0.70201 15
50 54 0.51317 9
50 56 0.60375 10
50 58 0.56169 10
50 59 0.55461 17
50 77 0.90528 9
51 53 0.95122 12
51 60 0.94463 16
51 67 0.92788 11
51 93 0.7073 12
51 97 0.91186 8
51 98 0.53579 9
52 60 0.53395 12
52 65 0.7237 12
52 89 0.7497 4
53 57 0.88305 10
53 59 0.73576 14
53 61 0.91757 9
53 64 0.8087 6
53 65 0.53703 14
53 78 0.58274 7
53 88 0.76975 8
54 86 0.5296 3
55 67 0.88881 7
55 92 0.82125 5
56 59 0.94541 12
56 65 0.59062 12
57 58 0.87839 8
57 65 0.7772 14
57 73 0.62112 6
57 80 0.56995 8
57 90 0.86507 6
57 94 0.76301 6
58 59 0.70249 12
58 85 0.82773 4
59 65 0.54074 19
59 69 0.72664 11
59 70 0.80893 10
59 72 0.83419 11
59 74 0.75951 13
59 81 0.54597 10
